Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2234545;Bekondo;Bekondo;Bekondo,Boa Bekondo;P;PPL;CM;Cameroon;;09;;;;7331;;382;Africa/Douala;2012-01-16;Cameroon;4.6819,9.3214
2222568;Pitoa;Pitoa;Piloa,Pitoa,Pitowa;P;PPL;CM;Cameroon;;13;;;;11454;;187;Africa/Douala;2014-01-08;Cameroon;9.3839,13.50231
2224413;Nguti;Nguti;;P;PPL;CM;Cameroon;;09;;;;5498;;228;Africa/Douala;2006-01-17;Cameroon;5.3299,9.4185
2227402;Meïganga;Meiganga;Meiganda,Meiganga,Mejgange,Meïganga,Мейганге;P;PPL;CM;Cameroon;;10;;;;80100;;970;Africa/Douala;2020-06-10;Cameroon;6.51667,14.3
2233118;Diang;Diang;Diang;P;PPL;CM;Cameroon;;05;;;;2062;;56;Africa/Douala;2018-12-04;Cameroon;4.25,10.01667
2235196;Bafang;Bafang;Bafang;P;PPL;CM;Cameroon;;08;;;;80688;;1179;Africa/Douala;2013-07-04;Cameroon;5.15705,10.1771
2222539;Poli;Poli;Poli;P;PPL;CM;Cameroon;;13;;;;5727;;477;Africa/Douala;2018-12-04;Cameroon;8.4756,13.24097
2223734;Nkoteng;Nkoteng;Nkoteng;P;PPL;CM;Cameroon;;11;;;;50334;;583;Africa/Douala;2012-01-16;Cameroon;4.51667,12.03333
2226275;Mokolo;Mokolo;Mokolo;P;PPL;CM;Cameroon;;12;;;;275239;;813;Africa/Douala;2014-06-04;Cameroon;10.74244,13.80227
2231504;Foumbot;Foumbot;Foumbat,Foumbot;P;PPL;CM;Cameroon;;08;;;;84065;;1054;Africa/Douala;2014-06-04;Cameroon;5.50803,10.6325
2234968;Bamendjou;Bamendjou;Bamendjou;P;PPL;CM;Cameroon;;08;;;;6643;;1604;Africa/Douala;2013-09-05;Cameroon;5.38988,10.33014
2234974;Bamenda;Bamenda;BPC,Bamenda,Bamendy,ba men da,bamenda,bamynda,Баменда,Баменды,بامیندا,バメンダ,巴门达,바멘다;P;PPLA;CM;Cameroon;;07;;;;393835;;1258;Africa/Douala;2014-06-04;Cameroon;5.9597,10.14597
2235776;Akonolinga;Akonolinga;Akomolinga,Akonolinga;P;PPL;CM;Cameroon;;11;;;;17181;;643;Africa/Douala;2012-01-16;Cameroon;3.76667,12.25
2222366;Saa;Saa;Saa;P;PPL;CM;Cameroon;;11;;;;5727;;512;Africa/Douala;2012-01-16;Cameroon;4.36667,11.45
2229267;Lolodorf;Lolodorf;Lelodorf,Lolodorf,Lolodrof;P;PPL;CM;Cameroon;;14;;;;22252;;467;Africa/Douala;2012-01-16;Cameroon;3.23333,10.73333
2231319;Garoua Boulaï;Garoua Boulai;Garoua Boulai,Garoua Boulaï;P;PPL;CM;Cameroon;;04;;;;46615;;1034;Africa/Douala;2016-03-09;Cameroon;5.88333,14.55
2234803;Bansoa;Bansoa;Bansoa;P;PPL;CM;Cameroon;;08;;;;7560;;1483;Africa/Douala;2013-09-05;Cameroon;5.44836,10.31355
2225991;Mora;Mora;Mora,More,Море;P;PPL;CM;Cameroon;;12;;;;55216;;460;Africa/Douala;2012-01-16;Cameroon;11.04611,14.14011
2235780;Akono;Akono;Akono;P;PPL;CM;Cameroon;;11;;;;3821;;678;Africa/Douala;2014-04-05;Cameroon;3.5,11.33333
2232239;Edéa;Edea;Edea,Edeja,Edéa,Edėja,Ehdea,adya,ai dai a,edea,Édéa,Едеа,Эдеа,إديا,エデア,埃代阿;P;PPL;CM;Cameroon;;05;;;;203149;;27;Africa/Douala;2012-01-16;Cameroon;3.8,10.13333
2234904;Bandjoun;Bandjoun;Bandjoun,ban zu en,班祖恩;P;PPL;CM;Cameroon;;08;;;;6872;;1529;Africa/Douala;2013-09-05;Cameroon;5.37568,10.41326
2221504;Tiko;Tiko;TKC,Tiko;P;PPL;CM;Cameroon;;09;;;;55914;;33;Africa/Douala;2014-10-06;Cameroon;4.075,9.36005
2225728;Mutengene;Mutengene;;P;PPL;CM;Cameroon;;09;;;;47478;;241;Africa/Douala;2006-01-17;Cameroon;4.0913,9.3144
2226641;Mindif;Mindif;Mendif,Mindif;P;PPL;CM;Cameroon;;12;;;;10538;;396;Africa/Douala;2012-01-16;Cameroon;10.39757,14.43626
2231851;Essé;Esse;Esse,Essé;P;PPL;CM;Cameroon;;11;;;;3803;;640;Africa/Douala;2018-12-04;Cameroon;4.1,11.9
2233100;Dibombari;Dibombari;Dibombari;P;PPL;CM;Cameroon;;05;;;;4811;;57;Africa/Douala;2012-01-16;Cameroon;4.1787,9.6561
2234794;Banyo;Banyo;Banjo,Banyo;P;PPL;CM;Cameroon;;10;;;;40798;;1077;Africa/Douala;2012-01-16;Cameroon;6.75,11.81667
2223216;Okola;Okola;Okola;P;PPL;CM;Cameroon;;11;;;;5390;;652;Africa/Douala;2018-11-05;Cameroon;4.01667,11.38333
6620518;Somié;Somie;Ndeba,Somie,Tchokmon;P;PPL;CM;Cameroon;;10;;;;2000;800;771;Africa/Douala;2007-12-27;Cameroon;6.45843,11.43299
